IMDB ID,Start Timestamp,End Timestamp,Dialogue
tt2381249,"00:00:03,031","00:00:08,148","Subtitle created by <font color=""#ffff00"">- Aorion -</font> ""Mission: Impossible - Rogue Nation (2015)"" ^ (Run time : 02:04:35)"
tt2381249,"00:01:04,203","00:01:07,634",MINSK BELARUS
tt2381249,"00:01:11,138","00:01:12,598",Benji.
tt2381249,"00:01:12,850","00:01:14,800","Benji, do you copy?"
tt2381249,"00:01:15,294","00:01:16,909",Benji.
tt2381249,"00:01:17,314","00:01:19,341",Oh. Shit.
tt2381249,"00:01:19,366","00:01:20,808",Where's Ethan?
tt2381249,"00:01:20,833","00:01:22,488",Uh. I can't talk right now.
tt2381249,"00:01:22,513","00:01:24,919",The package is on the plane.
tt2381249,"00:01:24,944","00:01:26,514","Yeah, I know."
tt2381249,"00:01:26,539","00:01:30,442","We're currently formulate a plan B although technically, it's a plan C."
tt2381249,"00:01:30,467","00:01:31,840",This isn't going very well.
tt2381249,"00:01:31,880","00:01:34,165","I am aware of that, Brandt. You're not helping."
tt2381249,"00:01:34,189","00:01:35,299",Where's Ethan?
tt2381249,"00:01:35,324","00:01:36,777",I don't know. We're on radio silence.
tt2381249,"00:01:36,802","00:01:39,548","That plane cannot takeoff, with the package on it."
tt2381249,"00:01:39,573","00:01:41,672",- You understand? - We're working on it.
tt2381249,"00:01:41,704","00:01:43,779",Luther?  What the hell are you doing there?
tt2381249,"00:01:43,804","00:01:45,569",You are supposed to be on an assignment in Malaysia.
tt2381249,"00:01:45,594","00:01:48,621","I'm in Malaysia, I've been here 2 days. Benji needed my help."
tt2381249,"00:01:48,676","00:01:52,160","I didn't need help. I just- I needed assistance, it's a different thing."
tt2381249,"00:01:52,185","00:01:54,504",The package is still on that plane.
tt2381249,"00:01:55,875","00:01:57,663",We understand the package is on the plane.
tt2381249,"00:01:57,688","00:02:00,140",- We're trying to cripple it remotely. - You can do that.
tt2381249,"00:02:00,165","00:02:02,931",We can if the pilot left the satellite uplink switch on.
tt2381249,"00:02:02,956","00:02:05,305",- Which he has. - And how do you access the uplink?
tt2381249,"00:02:05,330","00:02:08,855",- It involves hacking a Russian satellite. - I can't authorise that.
tt2381249,"00:02:08,878","00:02:10,697",Which is why I didn't ask permission.
tt2381249,"00:02:10,722","00:02:13,178",We are under investigation for misconduct.
tt2381249,"00:02:13,203","00:02:16,599",The package is on-board. What do you want me to do?
tt2381249,"00:02:24,549","00:02:26,436",Uh. Luther.
tt2381249,"00:02:26,461","00:02:29,111","I'm reading a heat bloom, Benji. The engines are starting."
tt2381249,"00:02:29,136","00:02:30,695",Yeah. I'm aware of that.
