IMDB ID,Start Timestamp,End Timestamp,Dialogue
tt0117060,"00:00:23,649","00:00:24,929",<i>It was good...</i>
tt0117060,"00:00:28,112","00:00:29,821",<i>that you called us.</i>
tt0117060,"00:00:31,950","00:00:34,867",<i>I don't know what happened.</i>
tt0117060,"00:00:36,454","00:00:37,865",<i>We were at the bar...</i>
tt0117060,"00:00:40,085","00:00:41,116",<i>drinking...</i>
tt0117060,"00:00:42,463","00:00:43,957",<i>having fun...</i>
tt0117060,"00:00:45,048","00:00:46,673",<i>I don't even know...</i>
tt0117060,"00:00:47,843","00:00:50,335",<i>how I got here.</i>
tt0117060,"00:00:52,223","00:00:54,976",Come on. She's been under too long.
tt0117060,"00:00:55,478","00:00:57,933",<i>You're the only one who can help me.</i>
tt0117060,"00:01:03,236","00:01:06,023",<i>Come one... come on.</i>
tt0117060,"00:01:06,490","00:01:08,529",<i>Tell me what I need to know.</i>
tt0117060,"00:01:08,825","00:01:09,858",<i>Come on.</i>
tt0117060,"00:01:10,579","00:01:12,073",<i>They'll kill me.</i>
tt0117060,"00:01:15,417","00:01:17,125",<i>You asked for my help.</i>
tt0117060,"00:01:19,464","00:01:20,460",<i>Come on.</i>
tt0117060,"00:01:22,050","00:01:24,126",Come on.
tt0117060,"00:01:25,262","00:01:26,591",<i>The contact in Minsk...</i>
tt0117060,"00:01:26,764","00:01:29,089","The name, pal. Give us the name."
tt0117060,"00:01:30,769","00:01:32,596",<i>Dimitri...</i>
tt0117060,"00:01:33,605","00:01:34,601",<i>Miediev.</i>
tt0117060,"00:01:49,581","00:01:50,578",<i>What now?</i>
tt0117060,"00:01:52,877","00:01:53,992",<i>Now we drink.</i>
tt0117060,"00:01:54,337","00:01:56,165",Za druziye.
tt0117060,"00:02:15,779","00:02:17,606",Get rid of that scum.
tt0117060,"00:02:30,255","00:02:31,915",Come on...
tt0117060,"00:02:57,244","00:02:59,616",- Did we get it? - We got it.
tt0117060,"00:03:56,271","00:03:58,845","Would you like to watch a movie, Mr Rosen?"
tt0117060,"00:03:58,941","00:04:00,104","No, thank you."
tt0117060,"00:04:05,323","00:04:08,277","Would you like to watch a movie, Mr Phelps?"
tt0117060,"00:04:08,368","00:04:10,491",No. I prefer the theatre.
tt0117060,"00:04:10,579","00:04:14,828",Would you consider the cinema of the Ukraine?
tt0117060,"00:04:14,918","00:04:17,705",Perhaps you'll choose one for me.
tt0117060,"00:04:21,926","00:04:23,089",Thank you.
tt0117060,"00:04:47,664","00:04:49,621","<i>Good morning, Mr Phelps.</i>"
tt0117060,"00:04:49,708","00:04:52,663","<i>The man you're looking at is Alexander Golitsyn,</i>"
tt0117060,"00:04:52,754","00:04:55,459",<i>an attache at our embassy in Prague.</i>
tt0117060,"00:04:55,548","00:04:58,004",<i>He is also a traitor.</i>
tt0117060,"00:04:58,092","00:05:01,260",<i>He has stolen half of a CIA NOC list -</i>
tt0117060,"00:05:01,347","00:05:05,048",<i>a record of all our deep-cover agents in Eastern Europe.</i>
tt0117060,"00:05:05,143","00:05:09,271","<i>For security reasons, the NOC list is divided in two.</i>"
tt0117060,"00:05:09,356","00:05:13,354","<i>The portion that Golitsyn already has contains code names,</i>"
tt0117060,"00:05:13,444","00:05:15,568","<i>but it is useless without its mate,</i>"
tt0117060,"00:05:15,656","00:05:19,155",<i>which matches the code names with their true names.</i>
tt0117060,"00:05:19,243","00:05:23,193",<i>It is this half which Golitsyn plans to steal from the embassy</i>
tt0117060,"00:05:23,289","00:05:25,116",<i>during a reception tomorrow night.</i>
tt0117060,"00:05:25,208","00:05:28,162","<i>Your mission, Jim, should you choose to accept it,</i>"
tt0117060,"00:05:28,253","00:05:31,373","<i>is to obtain photographic proof of the theft,</i>"
tt0117060,"00:05:31,465","00:05:35,879",<i>shadow Golitsyn to his buyer and apprehend them both.</i>
tt0117060,"00:05:35,971","00:05:39,838",<i>We've already dispatched a team selected from your usual group.</i>
tt0117060,"00:05:39,933","00:05:41,972","<i>Sarah Davies is already undercover,</i>"
tt0117060,"00:05:42,060","00:05:44,848","<i>Jack Harmon can hack into any security system,</i>"
tt0117060,"00:05:44,939","00:05:47,561","<i>Hannah Williams will handle surveillance,</i>"
tt0117060,"00:05:47,651","00:05:50,272",<i>your wife Claire will cover transport...</i>
tt0117060,"00:05:50,362","00:05:54,028",<i>and Ethan Hunt will be your point man as usual.</i>
tt0117060,"00:05:54,117","00:05:59,075",<i>He will rendezvous in Prague at a safe house of your choosing.</i>
tt0117060,"00:05:59,163","00:06:04,077","<i>As always, should any member of IM Force be caught or killed</i>"
tt0117060,"00:06:04,170","00:06:07,836",<i>the secretary will disavow all knowledge of your actions.</i>
tt0117060,"00:06:07,924","00:06:12,136","<i>This tape will self-destruct in five seconds. Good luck, Jim.</i>"
tt0117060,"00:06:34,789","00:06:37,459",A very straightforward objective:
tt0117060,"00:06:37,542","00:06:39,867","we photograph Golitsyn stealing the NOC list,"
tt0117060,"00:06:39,961","00:06:42,452","follow him to his buyer,"
tt0117060,"00:06:42,547","00:06:44,873",apprehend both of them.
tt0117060,"00:06:44,967","00:06:46,876",Now here's the plot.
tt0117060,"00:06:46,969","00:06:50,754","Ethan, you're going into the embassy in character during a party."
tt0117060,"00:06:50,849","00:06:53,138",Hide in plain sight - highest possible profile.
tt0117060,"00:06:53,227","00:06:56,846",- Are you game? - Wouldn't have it any other way.
tt0117060,"00:06:56,940","00:07:00,106","Sarah, you're at the party already"
tt0117060,"00:07:00,193","00:07:02,351",as the embassy's Washington visitor liaison.
tt0117060,"00:07:02,445","00:07:05,483",Make contact with Ethan. You'll run the game together.
tt0117060,"00:07:05,575","00:07:06,986",I have nothing to wear.
tt0117060,"00:07:08,954","00:07:11,160","Well, you'll work it out."
tt0117060,"00:07:12,791","00:07:14,535","You'll mark Golitsyn, hand him to Hannah."
tt0117060,"00:07:14,627","00:07:17,877","Hannah, you'll have him for the duration of the interior."
tt0117060,"00:07:17,964","00:07:19,079",Stay on him.
tt0117060,"00:07:19,174","00:07:20,170",No problem.
tt0117060,"00:07:20,259","00:07:21,587",- Jack. - Yeah?
tt0117060,"00:07:21,677","00:07:23,254",Fingerprint security.
tt0117060,"00:07:23,345","00:07:25,671",There's access through the elevator shaft here.
tt0117060,"00:07:25,765","00:07:30,012","- So I'm not wearing my tux? - Open, close, get out."
tt0117060,"00:07:30,103","00:07:32,475",Zero residual presence.
tt0117060,"00:07:32,564","00:07:35,769","Claire, you'll cover outside in the vehicle."
tt0117060,"00:07:35,860","00:07:38,731",Hannah will join you as Golitsyn goes exterior.
tt0117060,"00:07:38,822","00:07:41,657",- Stay on him from there. - OK.
tt0117060,"00:07:41,741","00:07:45,526","Anything goes wrong, I call abort - everybody walk away, immediately."
tt0117060,"00:07:46,998","00:07:49,953",Regroup here at 4 a.m. That's 0400.
tt0117060,"00:07:50,085","00:07:51,912",Any questions?
tt0117060,"00:07:53,505","00:07:59,212",Yeah. Can we get a cappuccino machine? What do you call this?
tt0117060,"00:07:59,304","00:08:03,052",- I call it cruel and unusual. - I made that coffee.
tt0117060,"00:08:03,141","00:08:08,350",Exactly. It's even worse than the sludge you made in Kiev.
tt0117060,"00:08:08,440","00:08:11,013",Take it easy on my wife's coffee.
tt0117060,"00:08:11,109","00:08:14,645","- We missed you in Kiev, Jim. - You, too, Ethan."
tt0117060,"00:08:14,739","00:08:18,867",- On one of your cushy assignments? - Where this time? The Plaza?
tt0117060,"00:08:18,951","00:08:20,861","Drake Hotel, Chicago."
tt0117060,"00:08:20,954","00:08:22,117",Ooh!
tt0117060,"00:08:22,206","00:08:24,780",Cushy! 24-hour room service.
tt0117060,"00:08:24,876","00:08:27,248",- Chauffeured cars. - Fat expense account.
tt0117060,"00:08:27,337","00:08:30,338","- He's getting soft. - Yeah, look at him."
tt0117060,"00:08:31,424","00:08:34,924","OK, listen. If that list gets out into the open,"
tt0117060,"00:08:35,012","00:08:40,090",the names of our agents in Eastern Europe go to the highest bidders -
tt0117060,"00:08:40,185","00:08:43,305","Third World terrorists, arms dealers, drug lords,"
tt0117060,"00:08:43,772","00:08:47,817",anybody who'd love to get rid of long-term coverts like us.
tt0117060,"00:08:47,902","00:08:51,603","If they're exposed, they'll be executed."
