Start Timestamp,End Timestamp,Dialogue
"00:06:35,919","00:06:38,178","Now, Did you really pitched stock.."
"00:06:38,378","00:06:39,378",in your job interview?
"00:06:39,429","00:06:41,524","I had to do something to stand out. Right, Sir."
"00:06:41,724","00:06:44,047",I fuckin’ love that!
"00:06:44,247","00:06:46,656","Lunch, today. - <font color=#11A8E1>Y</font>eah."
"00:06:46,856","00:06:49,886","We don't start dialing at 9:30 Because,"
"00:06:50,086","00:06:52,242",our clients are already answering the phone!
"00:06:52,442","00:06:53,442","Three, two.."
"00:06:53,642","00:06:56,285",one..Let’s fuck!!
"00:06:57,942","00:06:59,593",You want to know what money sounds like?
"00:06:59,793","00:07:01,924",Go to a trading floor on Wall Street.
"00:07:02,124","00:07:04,565","Fuck this, shit that. Cunt, cock, asshole."
"00:07:04,854","00:07:07,666",I couldn’t believe how these guys talked to each other.
"00:07:08,071","00:07:10,548",I was hooked within seconds.
"00:07:11,621","00:07:13,595",It was like mainlining adrenaline.
"00:07:18,200","00:07:20,921","Fourty, Pick up the cocksuckin' phone! - Sorry.."
"00:07:24,397","00:07:27,297","You're such a fuckin' deouchbag, Hanna. - We don't give two shits about.."
"00:07:27,497","00:07:28,497",'How' technology works.
"00:07:28,765","00:07:31,040","Because, all we care about is getting fuckin' rich!"
"00:07:32,162","00:07:34,252",Jordan Belfort.. - Solid..two thousand.
"00:07:35,874","00:07:37,802",Done! Time to paint the tape.
"00:07:38,324","00:07:42,433","Whooow! Two thousand, Microsoft. Going in the hole!"
"00:07:42,633","00:07:43,633",C'mon.
"00:07:43,833","00:07:47,720","The pole man is alive. Alive. Hold on to that, it's hot."
"00:07:49,786","00:07:51,894",Shut that motherfucker. Shut it..shut it. Shut it!
"00:07:52,094","00:07:53,094",Sold!
"00:08:20,493","00:08:21,598",Tootski?
"00:08:21,798","00:08:22,798","No. Thank you, though."
"00:08:22,998","00:08:26,161","Mr. Hanna, what can I bring for you on this glorious afternoon?"
"00:08:26,499","00:08:28,519","Well, Hector, here’s the game plan."
"00:08:28,719","00:08:32,913","You're gonna nring us two Absolut Martinis, You know how I like 'em, straight up."
"00:08:33,113","00:08:35,512","And then, Precisely seven and one half minutes after that,"
"00:08:35,712","00:08:37,560","You're gonna nring us two more, and then.."
"00:08:37,760","00:08:42,869","two more after that every five minutes, until one of us passes the fuck out."
"00:08:43,069","00:08:45,150","An excellent strategy, Sir?"
"00:08:45,350","00:08:48,053","I’m good with water for now, though thank you."
"00:08:48,253","00:08:51,204","It's his first day on Wall Street, Give him time."
"00:08:51,404","00:08:53,725",Thank you. - Mmhmm.
"00:08:55,904","00:08:57,062",Mr.Hanna..
"00:08:57,262","00:08:58,262",You're able to..
"00:08:58,462","00:09:02,393",..do drugs during the day and still function and do your job?
"00:09:02,593","00:09:04,437",How the fuck else would you do this job?
"00:09:04,637","00:09:06,574","Cocaine and hookers, my friend."
"00:09:06,774","00:09:07,774",Right.
"00:09:07,974","00:09:12,758","I gotta say, I’m incredibly excited about being part of your firm."
"00:09:15,154","00:09:17,923",The clients you have are absolutely.. - Fuck the clients.
"00:09:18,123","00:09:21,411",Your only responsibility is to put mean on the table.
"00:09:22,989","00:09:24,854",You got a girlfriend? - I am married.
"00:09:25,054","00:09:27,584","My wife, her name is Teresa. She cuts hair."
"00:09:27,784","00:09:28,784",Congratulations. - Thank you.
"00:09:28,984","00:09:29,984",Think about Teresa.
"00:09:30,439","00:09:33,851",Name of the game? Move the money from your client's pocket.
"00:09:34,051","00:09:36,277",Into your pocket. - Right.
"00:09:36,477","00:09:38,606","But, if you can make the clients money, at the same time."
"00:09:38,806","00:09:41,075",It advantageous to everyone. Correct?
"00:09:41,275","00:09:42,275",No.
"00:09:44,065","00:09:45,862",Number one rule of Wall Street.
"00:09:46,062","00:09:47,062",Nobody --
"00:09:47,262","00:09:50,350","okay, if you’re Warren Buffet or Jimmy Buffet."
"00:09:50,550","00:09:54,895","Nobody knows, if a stock’s gonna go up, down, sideways or fucking circles."
"00:09:55,095","00:09:56,095",Least of all stock brokers.
"00:09:56,295","00:09:59,358",It's all a Fughazi. You know what a fughazi is?
"00:09:59,558","00:10:01,747",<i>Fugazi</i> it's a fake..
"00:10:01,947","00:10:04,546","Yeah, <i>Fugazi,</i> Fughazi. It's a wazi, it's a woozi..."
"00:10:04,746","00:10:08,326",..fairy dust. It doesn't exist. It never landed.
"00:10:08,526","00:10:10,706",It is no matter. It's not in the elemental chart.
"00:10:10,906","00:10:12,711",It's not fucking real!
"00:10:14,868","00:10:15,915",Stay with me. - Mmhmm.
"00:10:16,115","00:10:19,264",We don't create shit. We don't build anything.
"00:10:19,464","00:10:22,826","So, you got a client. Who bought stock at eight."
"00:10:23,026","00:10:24,026","And, announces it sixteen."
"00:10:24,226","00:10:27,016","He's all fucking happy, He wants to cash in, liquidate."
"00:10:27,216","00:10:30,386",Take his fucking money and run home. You don't let him do that.
"00:10:30,586","00:10:32,890","Cos, that would make it real. - Right."
"00:10:33,090","00:10:34,090",What do you do?
"00:10:34,290","00:10:37,533",You get another brilliant idea. A special Idea.
"00:10:37,733","00:10:40,024",Another situation. Another stock.
"00:10:40,224","00:10:42,434","To reinvest his earnings and then, some."
"00:10:42,634","00:10:46,089","And, he will. Every single time. Cos, they're fuckin' addicted."
"00:10:46,289","00:10:47,874","And, then..you just keep doing this."
"00:10:48,074","00:10:49,847",Again and again. ..and again.
"00:10:50,047","00:10:51,047",Meanwhile..
"00:10:51,247","00:10:54,429","He thinks, he is gettin' shit rich. Which he is...On paper."
"00:10:54,629","00:10:55,629","But, you and me. The brokers.."
"00:10:55,829","00:11:00,704","we are taking home cold hard cash via. Commission, motherfucker!"
"00:11:00,904","00:11:01,904",Right.
"00:11:04,268","00:11:05,865",That's incredible Sir.
"00:11:06,065","00:11:08,145","I can't tell you, how excited I am. - You should be."
"00:11:08,345","00:11:09,345","There's two keys,"
"00:11:09,545","00:11:12,490","to sucess, in the broker business."
"00:11:12,690","00:11:13,690","First of all,"
"00:11:16,124","00:11:17,787",You gotta stay relax.
"00:11:17,987","00:11:18,987",You jerk off?
"00:11:21,347","00:11:25,115","Do I jerk off? Yeah,Yeah, I jerk off..yeah."
"00:11:25,315","00:11:26,315",How many times a week?
"00:11:27,711","00:11:30,367","Like, uhm..three four times, maybe."
"00:11:30,567","00:11:33,427",Pump those numbers up. Those are rookies number in this racket.
"00:11:33,627","00:11:36,427","I myself, I jerk off at least.."
"00:11:36,627","00:11:38,847",twice a day. - Wow!
"00:11:39,047","00:11:40,749","Once in the morning, right after I work out."
"00:11:40,949","00:11:42,855","And, then once, right after lunch. - Really?"
"00:11:44,355","00:11:46,163",I want to. That's not why I do it.
"00:11:46,363","00:11:48,414","I do it, cos i fucking need to."
"00:11:48,614","00:11:49,614",Think about it.
"00:11:49,814","00:11:52,213",You're dealing with numbers. All day long.
"00:11:52,413","00:11:56,362","Decimal points..high frequencies. Bang, bang bang. Iek, iek eik.."
"00:11:56,562","00:11:58,366","Fucking digits! Ke, ke..ke ke.."
"00:11:58,566","00:12:00,360","All very acidic, above the shoulders,"
"00:12:00,560","00:12:01,560",mustered shit.
"00:12:01,760","00:12:02,760",Alright?
"00:12:02,960","00:12:04,963",That kind can weaken some people up. Right?
"00:12:05,163","00:12:07,065",You gotta feed the geese. Keep the blood flowing.
"00:12:07,363","00:12:09,285","And, keep the rhythm below the belt."
"00:12:09,485","00:12:10,485",Done.
"00:12:10,685","00:12:12,852",This is not a tip. This is a perscription. Trust me.
"00:12:13,052","00:12:14,052",If you don't?
