IMDB ID,Start Timestamp,End Timestamp,Dialogue
The.Avengers,"00:07:13,793","00:07:14,789",Free from what?
The.Avengers,"00:07:15,002","00:07:16,331",Freedom.
The.Avengers,"00:07:16,879","00:07:19,501",Freedom is life's great lie.
The.Avengers,"00:07:19,716","00:07:23,132","Once you accept that, in your heart,"
The.Avengers,"00:07:27,641","00:07:29,514",you will know peace.
The.Avengers,"00:07:29,809","00:07:32,265","Yeah, you say ""peace,"""
The.Avengers,"00:07:32,478","00:07:34,305",I kind of think you mean the other thing.
The.Avengers,"00:07:34,522","00:07:37,013","Sir, Director Fury is stalling."
The.Avengers,"00:07:37,233","00:07:38,562",This place is about to blow
The.Avengers,"00:07:38,693","00:07:40,401",and drop a hundred feet of rock on us.
The.Avengers,"00:07:41,905","00:07:42,936",He means to bury us.
The.Avengers,"00:07:43,156","00:07:44,271",Like the pharaohs of old.
The.Avengers,"00:07:44,491","00:07:46,448",He's right. The portal is collapsing in on itself.
The.Avengers,"00:07:46,660","00:07:48,867",We've got maybe two minutes before this goes critical.
The.Avengers,"00:07:49,246","00:07:50,242","Well, then."
The.Avengers,"00:08:06,013","00:08:07,092",I need these vehicles.
The.Avengers,"00:08:11,185","00:08:13,308",- Who's that? - They didn't tell me.
The.Avengers,"00:08:16,524","00:08:17,769",<i>Hill!</i>
The.Avengers,"00:08:18,193","00:08:19,473",Do you copy?
The.Avengers,"00:08:20,195","00:08:21,523",<i>Barton has turned.</i>
The.Avengers,"00:08:34,584","00:08:37,420",They have the Tesseract! Shut them down!
The.Avengers,"00:09:13,834","00:09:16,040","Okay, let's go. No, leave it. Go!"
The.Avengers,"00:09:32,519","00:09:34,642","We're clear upstairs, sir. You need to go."
The.Avengers,"00:11:06,616","00:11:07,944",<i>Director?</i>
The.Avengers,"00:11:08,284","00:11:09,778","Director Fury, do you copy?"
The.Avengers,"00:11:09,994","00:11:12,283",The Tesseract is with a hostile force.
The.Avengers,"00:11:12,539","00:11:14,946",I have men down. Hill?
The.Avengers,"00:11:15,292","00:11:17,165",A lot of men still under.
The.Avengers,"00:11:17,377","00:11:19,085",I don't know how many survivors.
The.Avengers,"00:11:19,296","00:11:20,459",<i>Sound a general call.</i>
The.Avengers,"00:11:20,672","00:11:22,380",I want every living soul not working rescue
The.Avengers,"00:11:22,508","00:11:23,504",looking for that briefcase.
The.Avengers,"00:11:23,717","00:11:24,749",Roger that.
The.Avengers,"00:11:24,969","00:11:28,254","Coulson, get back to base. This is a Level Seven."
The.Avengers,"00:11:29,348","00:11:30,926","<i>As of right now,</i>"
The.Avengers,"00:11:31,142","00:11:32,600",we are at war.
The.Avengers,"00:11:34,311","00:11:35,591",What do we do?
The.Avengers,"00:13:21,380","00:13:23,123",...you may have to write it down.
The.Avengers,"00:13:38,439","00:13:41,013","<i>You're at 1- 14 Silensky Plaza, 3rd floor.</i>"
The.Avengers,"00:13:41,276","00:13:43,399",<i>We have an F-22 exactly eight miles out.</i>
The.Avengers,"00:13:44,279","00:13:46,236","<i>Put the woman on the phone, or I will blow up the block</i>"
The.Avengers,"00:13:46,448","00:13:48,487",<i>before you can make the lobby.</i>
The.Avengers,"00:13:54,956","00:13:57,079",<i>- We need you to come in. - Are you kidding? I'm working.</i>
The.Avengers,"00:13:57,292","00:13:58,572",<i>This takes precedence.</i>
