IMDB ID,Start Timestamp,End Timestamp,Dialogue
Pulp.Fiction,"00:00:28,340","00:00:32,428",Forget it. It's too risky. I'm through doing that shit.
Pulp.Fiction,"00:00:32,508","00:00:35,966",You always say that. The same thing every time.
Pulp.Fiction,"00:00:36,038","00:00:37,977","""l'm through, never again, too dangerous."""
Pulp.Fiction,"00:00:38,048","00:00:40,537",I know that's what I always say. I'm always right too.
Pulp.Fiction,"00:00:40,617","00:00:44,015",- You forget about it in a day or two. - The days of me forgetting are over.
Pulp.Fiction,"00:00:44,087","00:00:46,176",The days of me remembering have just begun.
Pulp.Fiction,"00:00:46,248","00:00:48,417","You know, when you go on like this, what you sound like ?"
Pulp.Fiction,"00:00:48,488","00:00:51,516",- I sound like a sensible fuckin' man. - You sound like a duck.
Pulp.Fiction,"00:00:51,588","00:00:55,046","- Quack, quack, quack. - Take heart, 'cause you're never gonna have to hear it again."
Pulp.Fiction,"00:00:55,127","00:00:58,615","Since I'm never gonna do it again, you're never gonna have to hear me quack."
Pulp.Fiction,"00:00:58,696","00:01:03,425",- After tonight ? - Correct. I got all tonight to quack.
Pulp.Fiction,"00:01:03,506","00:01:06,335","- Can I get anyone more coffee ? - Oh, yes !"
Pulp.Fiction,"00:01:08,136","00:01:10,695",- Thank you. - You're welcome.
Pulp.Fiction,"00:01:10,776","00:01:13,864","I mean, the way it is now,"
Pulp.Fiction,"00:01:13,946","00:01:16,745",you're takin' the same risk as when you rob a bank.
Pulp.Fiction,"00:01:16,815","00:01:18,874",Takin' more of a risk. Banks are easier.
Pulp.Fiction,"00:01:18,945","00:01:21,973",Federal banks ain't supposed to stop you in any way during a robbery.
Pulp.Fiction,"00:01:22,056","00:01:26,284",They're insured. Why should they give a fuck ? I don't even need a gun in a Federal bank.
Pulp.Fiction,"00:01:26,356","00:01:29,814","Heard about this one bloke, he walks into a bank with a portable phone."
Pulp.Fiction,"00:01:29,895","00:01:32,864","He gives the phone to a teller. The bloke on the other end says,"
Pulp.Fiction,"00:01:32,925","00:01:36,493","""We got this guy's little girl. If you don't give him all your money, we're gonna kill her."""
Pulp.Fiction,"00:01:36,565","00:01:39,364",- Did it work ? - Fuckin' right it worked. That's what I'm talkin' about.
Pulp.Fiction,"00:01:39,434","00:01:45,273","Knucklehead walks into a bank with a telephone. Not a pistol, not a shotgun, a fuckin' phone."
Pulp.Fiction,"00:01:45,345","00:01:49,974",- Cleans the place out. They don't lift a fuckin' finger. - Did they hurt the little girl ?
Pulp.Fiction,"00:01:50,044","00:01:53,742",There probably never was a little girl. The point of the story isn't a little girl.
Pulp.Fiction,"00:01:53,814","00:01:56,802",The point of the story is they robbed a bank with a telephone.
Pulp.Fiction,"00:01:56,883","00:01:59,852",- You want to rob banks ? - I'm not saying I wanna rob banks.
Pulp.Fiction,"00:01:59,924","00:02:02,353","I'm illustrating if we did, it'd be easier than what we've been doing."
Pulp.Fiction,"00:02:02,424","00:02:06,582","-No more liquor stores ? -What've we been talkin' about ? Yeah, no more liquor stores."
Pulp.Fiction,"00:02:06,663","00:02:09,632","Besides, it ain't the giggle it used to be. There's too many foreigners own liquor stores."
Pulp.Fiction,"00:02:09,692","00:02:11,631","Vietnamese, Koreans, don't even speak fuckin' English."
Pulp.Fiction,"00:02:11,703","00:02:14,062","You tell 'em empty out the register, they don't know what you're talkin' about."
Pulp.Fiction,"00:02:14,132","00:02:16,071",They make it too personal.
Pulp.Fiction,"00:02:16,133","00:02:20,371","- We keep on, one of these gook fuckers gonna make us kill him. - I'm not gonna kill anybody."
Pulp.Fiction,"00:02:20,443","00:02:24,741",I don't want to either. But they'll probably put us in a situation where it's us or them.
Pulp.Fiction,"00:02:24,812","00:02:26,741","And if it's not the gooks,"
Pulp.Fiction,"00:02:26,812","00:02:29,441",it's these old fuckin' Jews who've owned the store for 15 fucking generations.
Pulp.Fiction,"00:02:29,512","00:02:33,950",You got Grandpa lrving sitting behind the counter with a fucking Magnum in his hand.
Pulp.Fiction,"00:02:34,022","00:02:35,951",Try walkin' into one of those places with nothing but a phone.
Pulp.Fiction,"00:02:36,022","00:02:37,961",See how far that gets you. Forget it.
Pulp.Fiction,"00:02:38,022","00:02:40,961","- We're out of it. - Well, what then, day jobs ?"
Pulp.Fiction,"00:02:41,031","00:02:43,050",- Not in this life. - What then ?
Pulp.Fiction,"00:02:45,230","00:02:47,429","Gar̤on, coffee !"
Pulp.Fiction,"00:02:47,501","00:02:49,800",This place.
Pulp.Fiction,"00:02:51,271","00:02:54,359",Gar̤on means boy.
Pulp.Fiction,"00:02:57,610","00:03:00,269",This place ? A coffee shop ?
Pulp.Fiction,"00:03:00,350","00:03:03,309",What's wrong with that ?
Pulp.Fiction,"00:03:03,379","00:03:07,037",Nobody ever robs restaurants. Why not ?
Pulp.Fiction,"00:03:08,019","00:03:10,448","Bars, liquor stores,"
Pulp.Fiction,"00:03:10,520","00:03:14,248",gas stations; you get your head blown off stickin' up one of them.
Pulp.Fiction,"00:03:14,330","00:03:17,988","Restaurants, on the other hand, you catch with their pants down."
Pulp.Fiction,"00:03:18,059","00:03:21,757",They're not expectin' to get robbed. Not as expectin' anyway.
Pulp.Fiction,"00:03:21,828","00:03:26,327",- I bet you could cut down on the hero factor in a place like this. - Correct.
Pulp.Fiction,"00:03:26,398","00:03:29,666","Same as banks, these places are insured."
Pulp.Fiction,"00:03:29,738","00:03:32,107",Manager. He don't give a fuck.
Pulp.Fiction,"00:03:32,179","00:03:35,008",They're just trying to get you out before you start pluggin' the diners.
Pulp.Fiction,"00:03:35,078","00:03:39,036",Waitresses. Fuckin' forget it. No way they're takin' a bullet for the register.
Pulp.Fiction,"00:03:39,117","00:03:42,046",Busboys. Some wetback gettin' paid $1.50 an hour...
Pulp.Fiction,"00:03:42,117","00:03:44,646",really give a fuck you're stealin' from the owner ?
Pulp.Fiction,"00:03:44,718","00:03:47,816","Customers sittin' there with food in their mouths, they don't know what's goin' on."
Pulp.Fiction,"00:03:47,887","00:03:52,556","One minute, they're havin' a Denver omelet, the next, someone is stickin' a gun in their face."
Pulp.Fiction,"00:03:52,627","00:03:57,686","See, I got the idea the last liquor store we stuck up, remember ?"
Pulp.Fiction,"00:03:57,766","00:04:00,465",- All the customers kept comin' in. - Yeah.
Pulp.Fiction,"00:04:00,536","00:04:04,364","You got the idea of takin' their wallets. Now, that was a good idea."
Pulp.Fiction,"00:04:04,437","00:04:07,835",- Thank you. - Made more from the wallets than we did from the register.
Pulp.Fiction,"00:04:07,907","00:04:10,206","- Yes, we did. - A lot of people come to restaurants."
Pulp.Fiction,"00:04:10,276","00:04:13,934","- A lot of wallets. - Pretty smart, huh ?"
Pulp.Fiction,"00:04:14,016","00:04:16,035",Pretty smart.
Pulp.Fiction,"00:04:17,585","00:04:20,613","I'm ready. Let's do it. Right now, right here."
Pulp.Fiction,"00:04:20,686","00:04:25,185","- Come on. - All right. Same as last time, remember ?"
Pulp.Fiction,"00:04:25,256","00:04:28,025",You're crowd control. I'll handle the employees.
Pulp.Fiction,"00:04:33,604","00:04:36,373","- I love you, Pumpkin. - I love you, Honey Bunny."
Pulp.Fiction,"00:04:37,574","00:04:40,073",Everybody be cool ! This is a robbery !
Pulp.Fiction,"00:04:40,145","00:04:43,014","Any of you fucking pricks move,"
Pulp.Fiction,"00:04:43,085","00:04:46,983",and I'll execute every motherfuckin' last one of you.
Pulp.Fiction,"00:04:46,984","00:04:47,313",and I'll execute every motherfuckin' last one of you.
Pulp.Fiction,"00:06:38,497","00:06:40,726",-  Jungle boogie -  Get down with the boogie
Pulp.Fiction,"00:06:40,797","00:06:42,956",-  Jungle boogie -  Get it on
Pulp.Fiction,"00:06:43,028","00:06:45,227",-  Jungle boogie -  Get down with the boogie
Pulp.Fiction,"00:06:45,298","00:06:47,527",-  Jungle boogie -  Get it on
Pulp.Fiction,"00:06:47,598","00:06:49,867",-  Jungle boogie -  Get up with the boogie
Pulp.Fiction,"00:06:49,937","00:06:51,996",-  Jungle boogie -  Get up with the get down
Pulp.Fiction,"00:06:52,077","00:06:54,366",-  Jungle boogie -  Get down and boogie
Pulp.Fiction,"00:06:54,437","00:06:57,605",-  Jungle boogie -  Shake it around
Pulp.Fiction,"00:07:04,366","00:07:08,464","- Okay, so tell me again about the hash bars. - Okay, what you want to know ?"
Pulp.Fiction,"00:07:08,536","00:07:11,375","- Hash is legal there, right ? - It's legal, but it ain't 100% legal."
Pulp.Fiction,"00:07:11,446","00:07:16,075","You just can't walk into a restaurant, roll a joint and start puffin' away."
Pulp.Fiction,"00:07:16,145","00:07:19,473","I mean, they want you to smoke in your home or certain designated places."
Pulp.Fiction,"00:07:19,546","00:07:22,215",- Those are hash bars ? - Yeah. It breaks down like this.
Pulp.Fiction,"00:07:22,285","00:07:24,614",It's legal to buy it. It's legal to own it.
Pulp.Fiction,"00:07:24,685","00:07:27,883","And if you're the proprietor of a hash bar, it's legal to sell it."
Pulp.Fiction,"00:07:27,955","00:07:32,353","It's illegal to carry it, but-but that doesn't matter, 'cause get a load of this."
Pulp.Fiction,"00:07:32,425","00:07:36,883","If you get stopped by a cop in Amsterdam, it's illegal for them to search you."
Pulp.Fiction,"00:07:36,965","00:07:40,903","- I mean, that's a right the cops in Amsterdam don't have. - Oh, man ! I'm goin'."
Pulp.Fiction,"00:07:40,964","00:07:43,493",That's all there is to it. I'm fuckin' goin'.
Pulp.Fiction,"00:07:43,574","00:07:46,503","I know, baby. You'd dig it the most."
Pulp.Fiction,"00:07:46,574","00:07:49,303",- But you know what the funniest thing about Europe is ? - What ?
Pulp.Fiction,"00:07:49,373","00:07:53,311","It's the little differences. I mean, they got the same shit over there that they got here,"
Pulp.Fiction,"00:07:53,383","00:07:56,941","- but it's just there, it's a little different. - Example."
Pulp.Fiction,"00:07:57,014","00:08:00,142",You can walk into a movie theater in Amsterdam and buy a beer.
Pulp.Fiction,"00:08:00,224","00:08:03,852",And I don't mean just like no paper cup. I'm talkin' about a glass of beer.
Pulp.Fiction,"00:08:03,923","00:08:07,751","And in Paris, you can buy a beer in McDonald's. You know what they call..."
Pulp.Fiction,"00:08:07,823","00:08:11,321",a Quarter-Pounder with Cheese in Paris ?
Pulp.Fiction,"00:08:11,402","00:08:13,591",They don't call it a Quarter-Pounder with Cheese ?
Pulp.Fiction,"00:08:13,663","00:08:16,462",They got the metric system. They wouldn't know what the fuck a Quarter-Pounder is.
Pulp.Fiction,"00:08:16,532","00:08:20,440",- What do they call it ? - They call it a Royale with Cheese.
Pulp.Fiction,"00:08:20,502","00:08:21,971",- Royale with Cheese. - That's right.
