IMDB ID,Start Timestamp,End Timestamp,Dialogue
The.Dark.Knight,"00:07:20,508","00:07:22,050",...because he's busy.
The.Dark.Knight,"00:07:38,776","00:07:41,694",That's why we bring dogs.
The.Dark.Knight,"00:07:41,863","00:07:44,188",- my little princes. please.
The.Dark.Knight,"00:07:44,365","00:07:47,948","Please, they're crawling in my mouth. please, I beg you, get them off."
The.Dark.Knight,"00:07:48,119","00:07:50,871",Look what your drugs do to my customers.
The.Dark.Knight,"00:07:51,039","00:07:52,663",Buyer beware.
The.Dark.Knight,"00:07:52,832","00:07:56,035",I told you my compound would take you places.
The.Dark.Knight,"00:07:56,210","00:07:58,962",I never said they'd be places you wanted to go.
The.Dark.Knight,"00:07:59,130","00:08:01,668","My business, repeat customers."
The.Dark.Knight,"00:08:01,841","00:08:03,549",You don't like what I have to offer...
The.Dark.Knight,"00:08:03,718","00:08:05,461",...you can buy from someone else.
The.Dark.Knight,"00:08:05,636","00:08:08,388",Assuming batman left anyone to buy from.
The.Dark.Knight,"00:08:11,726","00:08:15,724",My dogs are hungry.
The.Dark.Knight,"00:08:19,359","00:08:21,731",Pity there's only one of you.
The.Dark.Knight,"00:08:29,702","00:08:31,362",What...? that's not him.
The.Dark.Knight,"00:08:35,750","00:08:37,493",Loose the dogs!
The.Dark.Knight,"00:08:50,223","00:08:51,765",That's more like it.
The.Dark.Knight,"00:10:19,854","00:10:21,597",Don't let me find you out here again.
The.Dark.Knight,"00:10:21,773","00:10:24,608",- we're trying to help you. I don't need help.
The.Dark.Knight,"00:10:24,776","00:10:26,104",Not my diagnosis.
The.Dark.Knight,"00:10:26,277","00:10:29,860",What gives you the right? what's the difference between you and me?
The.Dark.Knight,"00:10:30,031","00:10:32,901",I'm not wearing hockey pads.
The.Dark.Knight,"00:10:36,412","00:10:38,369",Everybody back now!
The.Dark.Knight,"00:10:40,541","00:10:43,708",He can't resist showing us his face.
The.Dark.Knight,"00:10:47,965","00:10:50,124",What's he hiding under that makeup?
The.Dark.Knight,"00:10:57,850","00:11:00,520","Uh, can we get a minute, people, please?"
The.Dark.Knight,"00:11:03,147","00:11:05,306",Him again. who are the others?
The.Dark.Knight,"00:11:05,483","00:11:07,061",Another bunch of smalltimers.
The.Dark.Knight,"00:11:08,444","00:11:10,152",Some of the marked bills I gave you.
The.Dark.Knight,"00:11:10,321","00:11:12,610",My detectives have been making drug buys with them.
The.Dark.Knight,"00:11:12,782","00:11:15,355",This bank was another drop for the mob. that makes five.
The.Dark.Knight,"00:11:15,535","00:11:18,108",- we found the bulk of their dirty cash. - time to move in.
The.Dark.Knight,"00:11:18,287","00:11:22,071","We'd have to hit all banks simultaneously. swat teams, backup."
The.Dark.Knight,"00:11:22,417","00:11:24,077",What about this Joker guy?
The.Dark.Knight,"00:11:24,252","00:11:27,206",One man or the entire mob? he can wait.
The.Dark.Knight,"00:11:27,380","00:11:29,705","When the new da hears about this, he'll want in."
The.Dark.Knight,"00:11:29,882","00:11:32,420",- do you trust him? - be hard to keep him out.
The.Dark.Knight,"00:11:32,593","00:11:36,045",I hear he's as stubborn as you are.
The.Dark.Knight,"00:12:19,599","00:12:22,553",Be nice when Wayne manor's rebuilt.
The.Dark.Knight,"00:12:22,727","00:12:25,432",You can swap not sleeping in a penthouse...
The.Dark.Knight,"00:12:25,605","00:12:27,147",...for not sleeping in a mansion.
The.Dark.Knight,"00:12:27,315","00:12:31,063","Whenever you stitch yourself up, you do make a bloody mess."
The.Dark.Knight,"00:12:31,235","00:12:34,236",Yeah. it makes me learn from my mistakes.
The.Dark.Knight,"00:12:34,405","00:12:37,821","You ought to be pretty knowledgeable by now, then."
The.Dark.Knight,"00:12:39,535","00:12:40,567",My armor.
The.Dark.Knight,"00:12:40,745","00:12:44,328",I'm carrying too much weight. I need to be... I need to be faster.
The.Dark.Knight,"00:12:44,499","00:12:47,168",I'm sure mr. Fox can oblige.
The.Dark.Knight,"00:12:47,335","00:12:49,826",- did you get mauled by a tiger? - it was a dog.
The.Dark.Knight,"00:12:50,004","00:12:52,542",- huh? - it was a big dog.
The.Dark.Knight,"00:12:52,715","00:12:56,583","There were more copycats last night, Alfred, with guns."
The.Dark.Knight,"00:12:56,761","00:12:58,670","Why not hire them, take the weekend off?"
The.Dark.Knight,"00:12:58,846","00:13:01,681",That wasn't exactly what I had in mind...
The.Dark.Knight,"00:13:01,849","00:13:03,593",...when I said I wanted to inspire people.
The.Dark.Knight,"00:13:03,768","00:13:05,677",I know.
The.Dark.Knight,"00:13:05,853","00:13:07,348",But things have improved.
The.Dark.Knight,"00:13:07,563","00:13:10,019",Look at the new district attorney.
The.Dark.Knight,"00:13:10,692","00:13:12,684","I am, closely."
The.Dark.Knight,"00:13:12,860","00:13:14,770",Need to know if he can be trusted.
The.Dark.Knight,"00:13:14,946","00:13:18,990",Are you interested in his character or his social circle?
The.Dark.Knight,"00:13:22,829","00:13:25,201",Who Rachel spends her time with is her business.
The.Dark.Knight,"00:13:26,999","00:13:29,241",I trust you don't have me followed on my day off.
The.Dark.Knight,"00:13:29,419","00:13:31,495","If you ever took one, I might."
The.Dark.Knight,"00:13:33,339","00:13:35,213","Know your limits, master Wayne."
The.Dark.Knight,"00:13:35,383","00:13:38,503",Batman has no limits.
The.Dark.Knight,"00:13:38,678","00:13:41,714","- well, you do, sir. - well, can't afford to know them."
The.Dark.Knight,"00:13:41,889","00:13:44,380",And what's gonna happen on the day that you find out?
The.Dark.Knight,"00:13:44,559","00:13:47,264","We all know how much you like to say ""i told you so."""
The.Dark.Knight,"00:13:47,437","00:13:50,770","On that day, master Wayne, even I won't want to."
The.Dark.Knight,"00:13:50,940","00:13:52,399",Probably.
The.Dark.Knight,"00:13:59,240","00:14:00,900","Sorry I'm late, folks."
The.Dark.Knight,"00:14:04,829","00:14:07,035",- where were you? - worried you'd have to step up?
The.Dark.Knight,"00:14:07,206","00:14:10,207","- Harvey, I know these briefs backwards. - well, then..."
The.Dark.Knight,"00:14:10,376","00:14:12,369",...fair's fair.
The.Dark.Knight,"00:14:12,545","00:14:14,585","Heads, I'll take it. tails, he's all yours."
The.Dark.Knight,"00:14:14,756","00:14:16,832",Yeah? you wanna flip a coin to see who leads?
The.Dark.Knight,"00:14:17,008","00:14:20,424","My father's lucky coin. as I recall, it got me my first date with you."
The.Dark.Knight,"00:14:20,595","00:14:23,761",I wouldn't leave something like that up to chance.
The.Dark.Knight,"00:14:24,098","00:14:27,183",I don't. I make my own luck.
The.Dark.Knight,"00:14:28,686","00:14:32,731",All rise. the honorable judge freel presiding.
The.Dark.Knight,"00:14:32,899","00:14:35,568",I thought the da just played golf with the mayor.
The.Dark.Knight,"00:14:35,735","00:14:39,435","Teeoff's 1:30. more than enough time to put you away for life, sally."
The.Dark.Knight,"00:14:39,614","00:14:41,156",With Carmine Falcone in Arkham...
The.Dark.Knight,"00:14:41,324","00:14:44,325",...someone must have stepped up to run the so-called family.
The.Dark.Knight,"00:14:45,203","00:14:47,445",Is that man in this courtroom today?
The.Dark.Knight,"00:14:48,998","00:14:52,616","- could you identify him for us, please? - you win, counselor."
The.Dark.Knight,"00:14:54,962","00:14:56,457",It was me.
The.Dark.Knight,"00:14:58,174","00:15:01,958",I have a sworn statement from you that this man...
The.Dark.Knight,"00:15:02,136","00:15:05,837","...Salvatore Maroni, is the new head of the Falcone crime family."
The.Dark.Knight,"00:15:06,015","00:15:10,143",Maroni? he's a fall guy. I'm the brains of the organization.
The.Dark.Knight,"00:15:11,521","00:15:13,063",Order. - permission to treat...
The.Dark.Knight,"00:15:13,231","00:15:14,476",...the witness as hostile? - granted.
The.Dark.Knight,"00:15:14,649","00:15:15,680",- hostile? I'll show you hostile!
